"cell","x","y","built_pct","light_mcd_m2","pm25_ug_m3","utci_strong_h","hw_days","crop_frac","bii","landchange_freq","pop_dens_km2","gdp_pc_2022","utci_valid_h"
74,3361797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,3391797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,3421797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,3451797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,3481797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,3511797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,3541797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,3571797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,3601797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,3631797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,3661797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,3691797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,3721797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,3751797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,3781797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,3811797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,3841797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,3871797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,3901797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,3931797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,3961797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,3991797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,4021797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,4051797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,4081797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,4111797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,4141797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,4171797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,4201797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,4231797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,4261797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,4291797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,4321797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,4351797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,4381797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,4411797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,4441797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,4471797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,4501797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,4531797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,4561797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,4591797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,4621797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,4651797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,4681797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,4711797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,4741797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,4771797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,4801797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,4831797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,4861797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,4891797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,4921797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,4951797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,4981797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,5011797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,5041797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,5071797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,5101797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,5131797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,5161797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,5191797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,5221797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,5251797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,5281797.53737928,5727294.92101147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
